Index,Character
0,
1,À
2,Á
3,Â
4,Ç
5,È
6,É
7,Ê
8,Ë
9,Ì
10,こ
11,Î
12,Ï
13,Ò
14,Ó
15,Ô
16,Œ
17,Ù
18,Ú
19,Û
20,Ñ
21,ß
22,à
23,á
24,ね
25,Ç
26,È
27,é
28,ê
29,ë
30,ì
31,í
32,î
33,ï
34,ò
35,ó
36,ô
37,œ
38,ù
39,ú
40,û
41,ñ
42,º
43,ª
44,⒅
45,&
46,+
47,あ
48,ぃ
49,ぅ
50,ぇ
51,ぉ
52,ゃ
53,=
54,ょ
55,が
56,ぎ
57,ぐ
58,げ
59,ご
60,ざ
61,じ
62,ず
63,ぜ
64,ぞ
65,だ
66,ぢ
67,づ
68,で
69,ど
70,ば
71,び
72,ぶ
73,べ
74,ぼ
75,ぱ
76,ぴ
77,ぷ
78,ぺ
79,ぽ
80,っ
81,¿
82,¡
83,⒆
84,⒇
85,オ
86,カ
87,キ
88,ク
89,ケ
90,Í
91,コ
92,サ
93,ス
94,セ
95,ソ
96,タ
97,チ
98,ツ
99,テ
100,ト
101,ナ
102,ニ
103,ヌ
104,â
105,ノ
106,ハ
107,ヒ
108,フ
109,ヘ
110,ホ
111,í
112,ミ
113,ム
114,メ
115,モ
116,ヤ
117,ユ
118,ヨ
119,ラ
120,リ
121,ル
122,レ
123,ロ
124,ワ
125,ヲ
126,ン
127,ァ
128,ィ
129,ゥ
130,ェ
131,ォ
132,ャ
133,ュ
134,ョ
135,ガ
136,ギ
137,グ
138,ゲ
139,ゴ
140,ザ
141,ジ
142,ズ
143,ゼ
144,ゾ
145,ダ
146,ヂ
147,ヅ
148,デ
149,ド
150,バ
151,ビ
152,ブ
153,ベ
154,ボ
155,パ
156,ピ
157,プ
158,ペ
159,ポ
160,ッ
161,0
162,1
163,2
164,3
165,4
166,5
167,6
168,7
169,8
170,9
171,!
172,?
173,.
174,-
175,・
176,⑬
177,“
178,”
179,‘
180,’
181,♂
182,♀
183,$
184,,
185,⑧
186,/
187,A
188,B
189,C
190,D
191,E
192,F
193,G
194,H
195,I
196,J
197,K
198,L
199,M
200,N
201,O
202,P
203,Q
204,R
205,S
206,T
207,U
208,V
209,W
210,X
211,Y
212,Z
213,a
214,a
215,b
216,c
217,d
218,e
219,f
220,g
221,h
222,i
223,j
224,k
225,l
226,m
227,n
228,o
229,p
230,q
231,r
232,s
233,t
234,u
235,v
236,w
237,x
238,y
239,z
240,0
241,:
242,Ä
243,Ö
244,Ü
245,ä
246,ö
247,ü